"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","432.92","60653.8","Sequential","3"
"2","428.33","60695.5","Sequential","3"
"8","441.12","60544.6","Sequential","3"
"15","403.99","60957.7","Sequential","3"
"50","442.69","60912.3","Sequential","3"
"100","357.11","61031.1","Sequential","3"
"200","84.42","44238.7","Sequential","3"
"300","80.87","30835.4","Sequential","3"
"400","82.16","23193.8","Sequential","3"
"500","79.99","19296","Sequential","3"
"700","78.14","14125.7","Sequential","3"
"1000","78.59","10145.7","Sequential","3"
"1300","74.1","8130.9","Sequential","3"
"1700","74.92","6434.9","Sequential","3"
"2500","72.99","4690.2","Sequential","3"
"3500","71.92","3558.8","Sequential","3"
"5000","73.33","2786.4","Sequential","3"
"9000","71.46","1957","Sequential","3"
"20000","70.96","1382.9","Sequential","3"
