"Access_Pattern","Stride_Size","Latency_ns","Bandwidth_MBps","Latency_cycles"
"Sequential (Low Miss)","1B","0","0","N/A"
"64B Stride","64B","0","0","N/A"
"128B Stride","128B","0","0","N/A"
"4KB Stride","4096B","0","0","N/A"
"Random (High Miss)","Random","0","0","N/A"
