"Size_Bytes","Latency_ns","Latency_cycles"
"4","0.8","4.4"
"8","6.8","37.4"
"16","13.9","76.45"
"32","25.9","142.45"
"64","46.9","257.95"
"128","71.9","395.45"
"256","72","396"
