"Size_Bytes","Latency_ns","Latency_cycles"
"4","0.8","4.4"
"8","6.8","37.4"
"16","14.6","80.3"
"32","25.9","142.45"
"64","45.5","250.25"
"128","71.5","393.25"
"256","72.4","398.2"
