"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","449.85","60557.2","Sequential","2"
"2","463.64","60653.2","Sequential","2"
"8","500.82","60563.8","Sequential","2"
"15","432.29","60725.9","Sequential","2"
"50","430.86","60611.6","Sequential","2"
"100","416.08","60844.5","Sequential","2"
"200","85.62","44128.6","Sequential","2"
"300","84.13","30125.9","Sequential","2"
"400","80.9","23425","Sequential","2"
"500","79.85","19269.4","Sequential","2"
"700","78.53","14177.3","Sequential","2"
"1000","78.27","10082.8","Sequential","2"
"1300","74.31","8093","Sequential","2"
"1700","73.57","6459.5","Sequential","2"
"2500","73","4686","Sequential","2"
"3500","74.01","3586.2","Sequential","2"
"5000","72.49","2801.1","Sequential","2"
"9000","71.47","1962.1","Sequential","2"
"20000","70.85","1384.7","Sequential","2"
