"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"15","383.98","61279.5","Medium-Range","2"
"50","438.07","61054.7","Medium-Range","2"
"100","382.24","61045.6","Medium-Range","2"
"200","84.58","44002.1","Medium-Range","2"
"300","81.14","30824.4","Medium-Range","2"
"400","80.05","23736","Medium-Range","2"
"500","79.82","19377.5","Medium-Range","2"
"700","80.13","14130.6","Medium-Range","2"
"1000","76.88","10278.8","Medium-Range","2"
"1300","75.93","8122.2","Medium-Range","2"
"1700","73.92","6467.3","Medium-Range","2"
"2500","72.7","4705.9","Medium-Range","2"
"3500","71.99","3633","Medium-Range","2"
"5000","71.54","2806.7","Medium-Range","2"
"9000","72.93","1939.2","Medium-Range","2"
"20000","70.88","1386.1","Medium-Range","2"
"0","442.06","60526.6","Large-Range","2"
"2","433.95","60549.9","Large-Range","2"
"8","380.33","61145.5","Large-Range","2"
"15","423.54","60606","Large-Range","2"
"50","460.66","60827.4","Large-Range","2"
"100","418.31","60440.8","Large-Range","2"
"200","84.97","44218.7","Large-Range","2"
"300","81.91","30743.2","Large-Range","2"
"400","81.02","23503.6","Large-Range","2"
"500","81.57","18985.5","Large-Range","2"
"700","79.48","14124.1","Large-Range","2"
"1000","76.75","10277.4","Large-Range","2"
"1300","74.76","8098.1","Large-Range","2"
"1700","73.9","6456.1","Large-Range","2"
"2500","72.88","4685.2","Large-Range","2"
"3500","72.13","3617.1","Large-Range","2"
"5000","73.97","2759.2","Large-Range","2"
"9000","71.63","1949.9","Large-Range","2"
"20000","71.97","1366.3","Large-Range","2"
"0","432.92","60653.8","Sequential","3"
"2","428.33","60695.5","Sequential","3"
"8","441.12","60544.6","Sequential","3"
"15","403.99","60957.7","Sequential","3"
"50","442.69","60912.3","Sequential","3"
"100","357.11","61031.1","Sequential","3"
"200","84.42","44238.7","Sequential","3"
"300","80.87","30835.4","Sequential","3"
"400","82.16","23193.8","Sequential","3"
"500","79.99","19296","Sequential","3"
"700","78.14","14125.7","Sequential","3"
"1000","78.59","10145.7","Sequential","3"
"1300","74.1","8130.9","Sequential","3"
"1700","74.92","6434.9","Sequential","3"
"2500","72.99","4690.2","Sequential","3"
"3500","71.92","3558.8","Sequential","3"
"5000","73.33","2786.4","Sequential","3"
"9000","71.46","1957","Sequential","3"
"20000","70.96","1382.9","Sequential","3"
"0","407.56","60713.7","Random","3"
"2","449.82","60719.7","Random","3"
"8","429.56","60644","Random","3"
"15","429.92","60632.9","Random","3"
"50","431.65","60826.8","Random","3"
"100","370.97","61176.1","Random","3"
"200","84.32","44313.3","Random","3"
"300","81.05","30736.9","Random","3"
"400","81.54","23435.9","Random","3"
"500","79.59","19251.7","Random","3"
"700","77.8","14147.4","Random","3"
"1000","77.23","10267.5","Random","3"
"1300","75.85","8125","Random","3"
"1700","75.02","6381.4","Random","3"
"2500","73.7","4676.7","Random","3"
"3500","72.47","3606","Random","3"
"5000","74.04","2758.5","Random","3"
"9000","71.25","1963","Random","3"
"20000","70.9","1384.1","Random","3"
"0","458.71","60705.2","Small-Range","3"
"2","506","60392.3","Small-Range","3"
"8","475.44","60160.3","Small-Range","3"
"15","461.34","60500.1","Small-Range","3"
"50","445.41","60577.5","Small-Range","3"
"100","373.75","60811","Small-Range","3"
"200","88.28","43767.6","Small-Range","3"
"300","82.42","30734","Small-Range","3"
"400","80.24","23680","Small-Range","3"
"500","80.51","19269.6","Small-Range","3"
"700","78.68","14127.1","Small-Range","3"
"1000","77.36","10239.5","Small-Range","3"
"1300","75.51","8121.5","Small-Range","3"
"1700","74.14","6399.5","Small-Range","3"
"2500","73.12","4689.6","Small-Range","3"
"3500","73.35","3597","Small-Range","3"
"5000","72.17","2795.2","Small-Range","3"
"9000","71.53","1960.4","Small-Range","3"
"20000","72.09","1365.9","Small-Range","3"
"0","439.24","60697.5","Medium-Range","3"
"2","396.81","60894.3","Medium-Range","3"
"8","411.67","60771.5","Medium-Range","3"
"15","472.89","60573.3","Medium-Range","3"
"50","422.71","61030.3","Medium-Range","3"
"100","417.86","60966.8","Medium-Range","3"
"200","85.06","44180.7","Medium-Range","3"
"300","84.92","30519","Medium-Range","3"
"400","82","23513","Medium-Range","3"
"500","79.7","19332","Medium-Range","3"
"700","78.39","14201.2","Medium-Range","3"
"1000","77.46","10266.2","Medium-Range","3"
"1300","75.12","8118.7","Medium-Range","3"
"1700","74.46","6442.9","Medium-Range","3"
"2500","72.9","4703.4","Medium-Range","3"
"3500","72.63","3606.8","Medium-Range","3"
"5000","72.4","2799.1","Medium-Range","3"
"9000","71.46","1964.5","Medium-Range","3"
"20000","70.68","1384.7","Medium-Range","3"
"0","437.87","60722.6","Large-Range","3"
"2","484.89","60674.7","Large-Range","3"
"8","438.25","61082.7","Large-Range","3"
"15","486.1","60893.6","Large-Range","3"
"50","460.54","60974.1","Large-Range","3"
"100","433.81","60957.2","Large-Range","3"
"200","84.78","44183.7","Large-Range","3"
"300","81.66","30820","Large-Range","3"
"400","81.04","23506.6","Large-Range","3"
"500","79.65","19352.8","Large-Range","3"
"700","79.75","14126.7","Large-Range","3"
"1000","77.21","10263.4","Large-Range","3"
"1300","75.04","8142.6","Large-Range","3"
"1700","74.8","6456","Large-Range","3"
"2500","73.13","4697.7","Large-Range","3"
"3500","73.29","3578.2","Large-Range","3"
"5000","73.02","2798.2","Large-Range","3"
"9000","72.48","1951.8","Large-Range","3"
"20000","72.71","1350.7","Large-Range","3"
